  Generating ../edge.epk
  Adding graphics/XHAIR/crosshr7.png               1.8% [   165/   168] Deflate
  Adding graphics/XHAIR/crosshr8.png               0.0% [   611/   611] Stored
  Adding graphics/XHAIR/crosshr9.png               0.0% [   232/   232] Stored
  Adding graphics/console/LOGO                     0.0% [239209/239209] Stored
  Adding graphics/console/LOGO.png                 0.0% [239209/239209] Stored
  Adding graphics/console/confont2.png             3.6% [ 39780/ 41261] Deflate
  Adding graphics/console/consol_p.png             0.0% [239209/239209] Stored
  Adding graphics/fonts/Menu/menfn033.gfx         15.8% [    48/    57] Deflate
  Adding graphics/fonts/Menu/menfn034.gfx         42.1% [    44/    76] Deflate
  Adding graphics/fonts/Menu/menfn035.gfx         28.7% [    67/    94] Deflate
  Adding graphics/fonts/Menu/menfn036.gfx         24.8% [    79/   105] Deflate
  Adding graphics/fonts/Menu/menfn037.gfx         29.7% [    83/   118] Deflate
  Adding graphics/fonts/Menu/menfn038.gfx         31.6% [    80/   117] Deflate
  Adding graphics/fonts/Menu/menfn039.gfx         19.0% [    34/    42] Deflate
  Adding graphics/fonts/Menu/menfn040.gfx         24.0% [    73/    96] Deflate
  Adding graphics/fonts/Menu/menfn041.gfx         28.1% [    69/    96] Deflate
  Adding graphics/fonts/Menu/menfn042.gfx         22.5% [    62/    80] Deflate
  Adding graphics/fonts/Menu/menfn043.gfx         29.3% [    58/    82] Deflate
  Adding graphics/fonts/Menu/menfn044.gfx          9.5% [    38/    42] Deflate
  Adding graphics/fonts/Menu/menfn045.gfx         36.1% [    39/    61] Deflate
  Adding graphics/fonts/Menu/menfn046.gfx          9.5% [    38/    42] Deflate
  Adding graphics/fonts/Menu/menfn047.gfx         26.2% [    62/    84] Deflate
  Adding graphics/fonts/Menu/menfn048.gfx         34.3% [    69/   105] Deflate
  Adding graphics/fonts/Menu/menfn049.gfx         21.3% [    48/    61] Deflate
  Adding graphics/fonts/Menu/menfn050.gfx         34.2% [    75/   114] Deflate
  Adding graphics/fonts/Menu/menfn051.gfx         31.2% [    77/   112] Deflate
  Adding graphics/fonts/Menu/menfn052.gfx         29.5% [    62/    88] Deflate
  Adding graphics/fonts/Menu/menfn053.gfx         30.7% [    70/   101] Deflate
  Adding graphics/fonts/Menu/menfn054.gfx         31.8% [    75/   110] Deflate
  Adding graphics/fonts/Menu/menfn055.gfx         35.1% [    61/    94] Deflate
  Adding graphics/fonts/Menu/menfn056.gfx         36.8% [    74/   117] Deflate
  Adding graphics/fonts/Menu/menfn057.gfx         32.7% [    74/   110] Deflate
  Adding graphics/fonts/Menu/menfn058.gfx         15.8% [    48/    57] Deflate
  Adding graphics/fonts/Menu/menfn059.gfx         16.1% [    47/    56] Deflate
  Adding graphics/fonts/Menu/menfn060.gfx         13.1% [    53/    61] Deflate
  Adding graphics/fonts/Menu/menfn061.gfx         21.9% [    50/    64] Deflate
  Adding graphics/fonts/Menu/menfn062.gfx         14.8% [    52/    61] Deflate
  Adding graphics/fonts/Menu/menfn063.gfx         31.5% [    76/   111] Deflate
  Adding graphics/fonts/Menu/menfn064.gfx         31.9% [    94/   138] Deflate
  Adding graphics/fonts/Menu/menfn065.gfx         34.6% [    70/   107] Deflate
  Adding graphics/fonts/Menu/menfn066.gfx         36.8% [    74/   117] Deflate
  Adding graphics/fonts/Menu/menfn067.gfx         31.9% [    77/   113] Deflate
  Adding graphics/fonts/Menu/menfn068.gfx         28.9% [    81/   114] Deflate
  Adding graphics/fonts/Menu/menfn069.gfx         35.2% [    70/   108] Deflate
  Adding graphics/fonts/Menu/menfn070.gfx         33.7% [    69/   104] Deflate
  Adding graphics/fonts/Menu/menfn071.gfx         33.3% [    72/   108] Deflate
  Adding graphics/fonts/Menu/menfn072.gfx         33.3% [    70/   105] Deflate
  Adding graphics/fonts/Menu/menfn073.gfx         21.6% [    40/    51] Deflate
  Adding graphics/fonts/Menu/menfn074.gfx         31.6% [    65/    95] Deflate
  Adding graphics/fonts/Menu/menfn075.gfx         29.7% [    78/   111] Deflate
  Adding graphics/fonts/Menu/menfn076.gfx         31.9% [    64/    94] Deflate
  Adding graphics/fonts/Menu/menfn077.gfx         30.3% [    83/   119] Deflate
  Adding graphics/fonts/Menu/menfn078.gfx         39.4% [    66/   109] Deflate
  Adding graphics/fonts/Menu/menfn079.gfx         34.3% [    69/   105] Deflate
  Adding graphics/fonts/Menu/menfn080.gfx         34.0% [    70/   106] Deflate
  Adding graphics/fonts/Menu/menfn081.gfx         32.4% [    73/   108] Deflate
  Adding graphics/fonts/Menu/menfn082.gfx         31.9% [    77/   113] Deflate
  Adding graphics/fonts/Menu/menfn083.gfx         31.3% [    68/    99] Deflate
  Adding graphics/fonts/Menu/menfn084.gfx         29.8% [    66/    94] Deflate
  Adding graphics/fonts/Menu/menfn085.gfx         28.8% [    74/   104] Deflate
  Adding graphics/fonts/Menu/menfn086.gfx         24.7% [    64/    85] Deflate
  Adding graphics/fonts/Menu/menfn087.gfx         36.9% [    77/   122] Deflate
  Adding graphics/fonts/Menu/menfn088.gfx         32.3% [    90/   133] Deflate
  Adding graphics/fonts/Menu/menfn089.gfx         26.0% [    71/    96] Deflate
  Adding graphics/fonts/Menu/menfn090.gfx         29.7% [    71/   101] Deflate
  Adding graphics/fonts/Menu/menfn091.gfx         17.6% [    56/    68] Deflate
  Adding graphics/fonts/Menu/menfn092.gfx         21.8% [    61/    78] Deflate
  Adding graphics/fonts/Menu/menfn093.gfx         25.4% [    50/    67] Deflate
  Adding graphics/fonts/Menu/menfn094.gfx         24.4% [    59/    78] Deflate
  Adding graphics/fonts/Menu/menfn095.gfx         45.8% [    45/    83] Deflate
  Adding graphics/fonts/Menu/menfn121.gfx         21.6% [    40/    51] Deflate
  Adding graphics/fonts/misc/stcfn000.gfx         59.7% [    58/   144] Deflate
  Adding graphics/fonts/misc/stcfn132.gfx         43.0% [    81/   142] Deflate
  Adding graphics/fonts/misc/stcfn134.gfx         37.8% [    79/   127] Deflate
